city,timestamp,pm25,lat,lon,hour,month
Los Angeles,2023-01-01T00:00:00Z,24.49,34.05463987883623,-118.23802683031606,0,1
Los Angeles,2023-01-01T01:00:00Z,22.59,34.04312037280884,-118.24688010959328,1,1
Los Angeles,2023-01-01T02:00:00Z,27.74,34.040411689885914,-118.23060180295676,2,1
Los Angeles,2023-01-01T03:00:00Z,25.3,34.056648852816004,-118.24575321778643,3,1
Los Angeles,2023-01-01T04:00:00Z,21.61,34.04608484485919,-118.23950487136734,4,1
Los Angeles,2023-01-01T05:00:00Z,21.6,34.048638900372836,-118.24417541719603,5,1
Los Angeles,2023-01-01T06:00:00Z,19.96,34.045842892970704,-118.24267276313412,6,1
Los Angeles,2023-01-01T07:00:00Z,28.94,34.04912139968434,-118.23429648077213,7,1
Los Angeles,2023-01-01T08:00:00Z,28.2,34.05184829137724,-118.2490709917456,8,1
Los Angeles,2023-01-01T09:00:00Z,23.73,34.052150897038025,-118.24658951752625,9,1
Los Angeles,2023-01-01T10:00:00Z,21.2,34.05368466053024,-118.2411969501252,10,1
Los Angeles,2023-01-01T11:00:00Z,22.12,34.04244076469689,-118.24009646179778,11,1
Los Angeles,2023-01-01T12:00:00Z,25.47,34.046234221521786,-118.23959863957644,12,1
Los Angeles,2023-01-01T13:00:00Z,19.34,34.05093420558686,-118.24630291088948,13,1
Los Angeles,2023-01-01T14:00:00Z,25.22,34.041769850041035,-118.24608034275161,14,1
Los Angeles,2023-01-01T15:00:00Z,23.51,34.04090454577821,-118.24349339338472,15,1
Los Angeles,2023-01-01T16:00:00Z,18.56,34.05657475018304,-118.24286493346612,16,1
Los Angeles,2023-01-01T17:00:00Z,25.84,34.04561869019374,-118.23914607833683,17,1
Los Angeles,2023-01-01T18:00:00Z,28.97,34.04149101287359,-118.23026226126798,18,1
Los Angeles,2023-01-01T19:00:00Z,26.84,34.05544489538593,-118.24602568636931,19,1
Los Angeles,2023-01-01T20:00:00Z,26.09,34.055425406933715,-118.24851910696532,20,1
Los Angeles,2023-01-01T21:00:00Z,25.79,34.04716931457088,-118.24768261880949,21,1
Los Angeles,2023-01-01T22:00:00Z,23.99,34.04661796049705,-118.24872883299427,22,1
Los Angeles,2023-01-01T23:00:00Z,25.93,34.04621964643431,-118.24349633355946,23,1
Los Angeles,2023-01-02T00:00:00Z,25.44,34.05774425485152,-118.24055570149676,0,1
Los Angeles,2023-01-02T01:00:00Z,27.07,34.042391884918764,-118.23573510425554,1,1
Los Angeles,2023-01-02T02:00:00Z,24.08,34.05541934359909,-118.2401240880727,2,1
Los Angeles,2023-01-02T03:00:00Z,27.61,34.05045465658764,-118.24144917963282,3,1
Los Angeles,2023-01-02T04:00:00Z,23.26,34.046287119621525,-118.2398285861767,4,1
Los Angeles,2023-01-02T05:00:00Z,22.1,34.05815132947852,-118.24501415541702,5,1
Los Angeles,2023-01-02T06:00:00Z,27.43,34.04457596330983,-118.24846040180341,6,1
Los Angeles,2023-01-02T07:00:00Z,26.45,34.045795029058276,-118.24677557425491,7,1
Los Angeles,2023-01-02T08:00:00Z,30.75,34.05607344153798,-118.24626859882227,8,1
Los Angeles,2023-01-02T09:00:00Z,28.99,34.057851179969795,-118.23921315516168,9,1
Los Angeles,2023-01-02T10:00:00Z,20.89,34.044558703250836,-118.24145784422747,10,1
Los Angeles,2023-01-02T11:00:00Z,22.02,34.05636029531845,-118.23278538833486,11,1
Los Angeles,2023-01-02T12:00:00Z,23.02,34.04834822006297,-118.24555784379058,12,1
Los Angeles,2023-01-02T13:00:00Z,22.3,34.04239730734667,-118.24324769657193,13,1
Los Angeles,2023-01-02T14:00:00Z,22.52,34.050375812434865,-118.2359396208221,14,1
Los Angeles,2023-01-02T15:00:00Z,24.21,34.047272592047584,-118.23056435834557,15,1
Los Angeles,2023-01-02T16:00:00Z,17.24,34.045696809887545,-118.2492622610529,16,1
Los Angeles,2023-01-02T17:00:00Z,27.92,34.052191286679594,-118.23994641953541,17,1
Los Angeles,2023-01-02T18:00:00Z,27.42,34.04289789744182,-118.24021094479444,18,1
Los Angeles,2023-01-02T19:00:00Z,28.9,34.05971300908221,-118.24515889456977,19,1
Los Angeles,2023-01-02T20:00:00Z,26.43,34.044752750879844,-118.23543567302775,20,1
Los Angeles,2023-01-02T21:00:00Z,25.26,34.04735566265438,-118.23735388338812,21,1
Los Angeles,2023-01-02T22:00:00Z,24.76,34.04180579540108,-118.23329395008821,22,1
Los Angeles,2023-01-02T23:00:00Z,29.57,34.04641560129943,-118.246269629792,23,1
Los Angeles,2023-01-03T00:00:00Z,23.3,34.05355128723684,-118.24966824342144,0,1
Los Angeles,2023-01-03T01:00:00Z,21.49,34.050241861165986,-118.24547008449603,1,1
Los Angeles,2023-01-03T02:00:00Z,19.81,34.05381875476205,-118.24226529307398,2,1
Los Angeles,2023-01-03T03:00:00Z,24.42,34.05873459977473,-118.24724958111707,3,1
Los Angeles,2023-01-03T04:00:00Z,20.65,34.05849387236557,-118.23245321293237,4,1
Los Angeles,2023-01-03T05:00:00Z,22.03,34.0451588325543,-118.23680031907931,5,1
Los Angeles,2023-01-03T06:00:00Z,23.68,34.050593011567116,-118.24516295418199,6,1
Los Angeles,2023-01-03T07:00:00Z,31.92,34.04186205535611,-118.23205568484093,7,1
Los Angeles,2023-01-03T08:00:00Z,28.78,34.04678059582097,-118.24301580850774,8,1
Los Angeles,2023-01-03T09:00:00Z,30.35,34.0545191135774,-118.23205779480094,9,1
Los Angeles,2023-01-03T10:00:00Z,23.75,34.052840632923086,-118.2483172007001,10,1
Los Angeles,2023-01-03T11:00:00Z,24.04,34.04323257428189,-118.23202891622945,11,1
Los Angeles,2023-01-03T12:00:00Z,23.88,34.04010123167692,-118.24678383897165,12,1
Los Angeles,2023-01-03T13:00:00Z,20.86,34.05097467578733,-118.23616209604614,13,1
Los Angeles,2023-01-03T14:00:00Z,19.43,34.05424358442695,-118.24525501825006,14,1
Los Angeles,2023-01-03T15:00:00Z,24.97,34.04650799396318,-118.23507017189763,15,1
Los Angeles,2023-01-03T16:00:00Z,25.89,34.053152257846,-118.23863382793328,16,1
Los Angeles,2023-01-03T17:00:00Z,29.24,34.04187349535656,-118.2426456839388,17,1
Los Angeles,2023-01-03T18:00:00Z,25.33,34.05946021109504,-118.24213804550666,18,1
Los Angeles,2023-01-03T19:00:00Z,25.55,34.05784093110354,-118.23737722748005,19,1
Los Angeles,2023-01-03T20:00:00Z,23.04,34.05153807769253,-118.24014964612361,20,1
Los Angeles,2023-01-03T21:00:00Z,27.36,34.043904859755955,-118.23555095769477,21,1
Los Angeles,2023-01-03T22:00:00Z,19.79,34.05880917168705,-118.23092142845994,22,1
Los Angeles,2023-01-03T23:00:00Z,24.45,34.05829728780441,-118.24259682599488,23,1
Los Angeles,2023-01-04T00:00:00Z,24.42,34.05927239954178,-118.23293981089064,0,1
Los Angeles,2023-01-04T01:00:00Z,22.78,34.045888977841386,-118.24229804542796,1,1
Los Angeles,2023-01-04T02:00:00Z,21.66,34.04338985493372,-118.23886397475083,2,1
Los Angeles,2023-01-04T03:00:00Z,25.57,34.05872309548321,-118.2360794040665,3,1
Los Angeles,2023-01-04T04:00:00Z,20.35,34.05230014453398,-118.23019892299791,4,1
Los Angeles,2023-01-04T05:00:00Z,23.46,34.04280168030473,-118.23963340695272,5,1
Los Angeles,2023-01-04T06:00:00Z,24.07,34.053940314819904,-118.23595031832025,6,1
Los Angeles,2023-01-04T07:00:00Z,29.68,34.04718982302439,-118.24412816311471,7,1
Los Angeles,2023-01-04T08:00:00Z,29.55,34.0573414463716,-118.23173518894886,8,1
Los Angeles,2023-01-04T09:00:00Z,29.54,34.050226847977214,-118.23996967410625,9,1
Los Angeles,2023-01-04T10:00:00Z,24.71,34.05403933754515,-118.23408414661127,10,1
Los Angeles,2023-01-04T11:00:00Z,26.41,34.057800106836346,-118.24324009686296,11,1
Los Angeles,2023-01-04T12:00:00Z,20.68,34.05156560281992,-118.24928115452406,12,1
Los Angeles,2023-01-04T13:00:00Z,22.29,34.049311960362644,-118.23914710730584,13,1
Los Angeles,2023-01-04T14:00:00Z,25.06,34.040610004998776,-118.24925303622501,14,1
Los Angeles,2023-01-04T15:00:00Z,18.16,34.05645201121319,-118.24279618717176,15,1
Los Angeles,2023-01-04T16:00:00Z,23.19,34.05539987106197,-118.24568357945006,16,1
Los Angeles,2023-01-04T17:00:00Z,24.77,34.052457809516376,-118.24829305070011,17,1
Los Angeles,2023-01-04T18:00:00Z,28.14,34.0508127024322,-118.23725140197003,18,1
Los Angeles,2023-01-04T19:00:00Z,26.05,34.05452182667445,-118.23048295841075,19,1
Los Angeles,2023-01-04T20:00:00Z,16.92,34.05590372389537,-118.24458335497475,20,1
Los Angeles,2023-01-04T21:00:00Z,23.56,34.04877942841411,-118.24843087237315,21,1
Los Angeles,2023-01-04T22:00:00Z,24.51,34.04817905888828,-118.24653411359857,22,1
Los Angeles,2023-01-04T23:00:00Z,25.6,34.04312874085342,-118.2449951420367,23,1
Los Angeles,2023-01-05T00:00:00Z,28.3,34.05320394753435,-118.24440132206108,0,1
Los Angeles,2023-01-05T01:00:00Z,24.21,34.059097305613264,-118.23524206166609,1,1
Los Angeles,2023-01-05T02:00:00Z,29.37,34.04839200124855,-118.24504538020997,2,1
Los Angeles,2023-01-05T03:00:00Z,26.1,34.047119453573025,-118.23484307779071,3,1
Los Angeles,2023-01-05T04:00:00Z,24.33,34.04948347658174,-118.24804331678698,4,1
Los Angeles,2023-01-05T05:00:00Z,25.32,34.049832317502336,-118.24053056458439,5,1
Los Angeles,2023-01-05T06:00:00Z,22.24,34.04797009468795,-118.23768299803895,6,1
Los Angeles,2023-01-05T07:00:00Z,24.26,34.05270187301735,-118.24909391980455,7,1
Los Angeles,2023-01-05T08:00:00Z,32.32,34.0500627251716,-118.23287020317623,8,1
Los Angeles,2023-01-05T09:00:00Z,23.69,34.05317387263238,-118.24674131145836,9,1
Los Angeles,2023-01-05T10:00:00Z,23.6,34.04053022621083,-118.23828448837453,10,1
Los Angeles,2023-01-05T11:00:00Z,21.2,34.058804604828495,-118.23849051644248,11,1
Los Angeles,2023-01-05T12:00:00Z,27.76,34.04916505780983,-118.23908766421367,12,1
Los Angeles,2023-01-05T13:00:00Z,19.29,34.058829296175524,-118.24227794724398,13,1
Los Angeles,2023-01-05T14:00:00Z,23.84,34.0414237729692,-118.24362048739413,14,1
Los Angeles,2023-01-05T15:00:00Z,21.13,34.056897506219386,-118.24953456128527,15,1
